num_instance,data_size,CPU2Device,Device,Device2CPU
1,16,22,200,28
1,16,21,200,27
1,16,22,200,27
1,16,21,200,28
1,16,22,200,28
1,16,21,200,28
1,16,22,200,28
1,16,22,200,28
1,16,23,200,29
1,16,23,200,29
1,16,23,200,29
1,16,23,200,28
1,16,23,200,29
1,16,23,200,29
1,16,23,200,29
1,16,23,200,29
1,16,23,200,29
1,16,23,200,29
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
2,16,21,102,22
1,32,46,400,58
1,32,46,400,59
1,32,47,401,59
1,32,46,400,59
1,32,47,400,59
1,32,46,400,59
1,32,47,401,59
1,32,47,401,59
1,32,48,401,59
1,32,47,400,59
1,32,47,400,59
1,32,47,400,59
1,32,47,401,59
1,32,47,400,59
1,32,48,400,60
2,32,42,204,45
2,32,42,204,45
2,32,42,204,45
2,32,42,204,45
2,32,42,204,45
2,32,42,205,45
2,32,42,205,45
2,32,42,204,45
2,32,42,204,45
2,32,42,204,46
2,32,43,204,46
2,32,43,204,46
2,32,43,204,46
2,32,42,204,46
2,32,42,204,46
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
4,32,41,102,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,43
8,32,42,52,43
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,42,52,44
8,32,41,52,44
8,32,42,52,44
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
1,64,90,801,114
1,512,663,6408,858
1,512,663,6408,858
1,512,663,6408,858
1,512,663,6408,859
1,512,664,6408,859
1,512,664,6408,859
1,512,664,6408,860
1,512,664,6408,860
1,512,664,6408,859
1,512,665,6408,860
1,512,665,6408,860
1,512,665,6408,860
1,512,665,6408,861
1,512,665,6408,861
1,512,666,6408,861
2,512,654,3272,690
2,512,654,3272,690
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,654,3272,691
2,512,655,3272,691
2,512,654,3272,691
2,512,654,3272,691
4,512,654,1636,693
4,512,654,1636,693
4,512,654,1636,694
4,512,654,1636,691
4,512,654,1636,693
4,512,656,1636,686
4,512,654,1636,693
4,512,654,1636,693
4,512,656,1636,685
4,512,654,1636,693
4,512,654,1636,693
4,512,654,1636,693
4,512,654,1636,693
4,512,654,1636,694
4,512,654,1636,693
8,512,654,825,689
8,512,654,825,690
8,512,654,825,690
8,512,654,825,690
8,512,654,825,690
8,512,654,825,690
8,512,654,825,690
8,512,654,825,691
8,512,654,825,691
8,512,654,825,691
8,512,654,825,691
8,512,654,825,691
8,512,654,825,691
8,512,654,825,691
8,512,654,825,691
8,64,82,103,86
8,64,83,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,83,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,82,103,87
8,64,83,103,87
1,256,345,3204,442
1,256,345,3204,442
1,256,343,3204,442
1,256,345,3204,443
1,256,345,3204,443
1,256,346,3204,442
1,256,346,3204,443
1,256,346,3204,443
1,256,346,3204,442
1,256,346,3204,443
1,256,346,3204,443
1,256,346,3204,443
1,256,346,3204,443
1,256,346,3204,443
1,256,346,3204,443
2,256,329,1636,351
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,351
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
2,256,329,1636,352
4,256,328,818,350
4,256,328,818,350
4,256,328,818,350
4,256,328,818,350
4,256,327,818,342
4,256,328,818,350
4,256,328,818,350
4,256,328,818,350
4,256,329,818,350
4,256,328,818,350
4,256,328,818,351
4,256,328,818,351
4,256,328,818,350
4,256,328,818,351
4,256,328,818,351
8,256,328,413,343
8,256,328,413,343
8,256,328,413,343
8,256,328,413,343
8,256,328,413,344
8,256,328,413,344
8,256,328,413,344
8,256,328,413,344
8,256,328,413,345
8,256,328,413,344
8,256,328,413,344
8,256,328,413,345
8,256,329,413,347
8,256,329,413,343
8,256,329,413,345
8,128,168,206,185
8,128,172,206,180
8,128,169,206,179
8,128,170,206,182
8,128,170,207,181
8,128,171,206,182
8,128,172,207,184
8,128,170,207,180
8,128,172,206,183
8,128,173,207,183
8,128,168,207,181
8,128,172,206,182
8,128,172,206,184
8,128,170,206,182
8,128,174,206,181
4,128,164,409,173
4,128,164,409,172
4,128,164,409,173
4,128,164,409,173
4,128,164,409,173
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
4,128,164,409,174
2,128,166,818,175
2,128,167,818,174
2,128,166,818,175
2,128,165,818,175
2,128,165,818,175
2,128,166,818,177
2,128,165,818,175
2,128,167,818,176
2,128,166,818,176
2,128,167,818,176
2,128,166,818,175
2,128,168,818,178
2,128,166,818,177
2,128,166,818,178
2,128,165,818,177
1,128,180,1602,231
1,128,185,1602,233
1,128,185,1602,234
1,128,185,1602,234
1,128,185,1602,234
1,128,185,1602,234
1,128,184,1602,234
1,128,185,1602,234
1,128,185,1602,234
1,128,186,1602,233
1,128,186,1602,234
1,128,186,1602,234
1,128,186,1602,233
1,128,186,1602,234
1,128,174,1602,222
1,64,88,801,113
1,64,90,801,114
1,64,89,801,113
1,64,90,801,114
1,64,90,801,114
1,64,91,801,115
1,64,91,801,116
1,64,92,801,117
1,64,93,801,117
1,64,93,801,117
1,64,93,801,117
1,64,93,801,117
1,64,93,801,118
1,64,88,801,117
1,64,93,801,117
2,64,83,409,87
2,64,83,409,88
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,84,409,89
2,64,83,409,89
2,64,83,409,90
2,64,83,409,90
2,64,83,409,90
4,64,82,205,88
4,64,82,205,88
4,64,82,205,88
4,64,83,205,89
4,64,83,205,88
4,64,82,205,89
4,64,82,205,89
4,64,83,204,88
4,64,83,204,89
4,64,84,205,88
4,64,83,205,88
4,64,83,204,88
4,64,83,205,88
4,64,83,205,88
4,64,83,204,88
